"","Protein","channel1","channel10","channel11","channel12","channel13","channel14","channel15","channel16","channel2","channel3","channel4","channel5","channel6","channel7","channel8","channel9"
"5624","Q5UIP0-2;Q5UIP0",14.1150876025888,14.978767669572,15.063316251134,14.998427594479,15.023910757197,15.1233411038786,15.1823117622744,15.0834404162472,14.1076294606009,14.1578337915053,14.1357024108592,14.1382002060947,14.1604781557797,14.1407202399412,14.1153680370817,15.0231387683919
"5625","Q5VIR6",14.8693039430123,14.8646317853273,14.9828112171157,14.9651677494131,14.8973501752187,14.7585626054697,14.8671084612721,15.0579347859555,14.9039206338806,14.9911351495504,14.8955721417372,14.9246520548028,14.8673860171961,14.8007517851473,14.8494545898321,14.880261955681
"5626","Q5VIR6;Q5VIR6-2;Q5VIR6-3;Q5VIR6-1",14.7156875678096,15.0048948821983,15.1506960328759,15.1313534971602,15.182825919646,15.1815157052172,15.0535595101575,15.2580880383885,14.5340158283833,14.562643690677,14.8226980301944,14.5210374695734,14.5941517363884,15.0035944602695,14.7143505443197,15.1192360974429
"5627","Q5VSG8-3;Q5VSG8",14.1658416421912,13.9923912316195,14.0110877120762,14.1624782128634,13.8876891017078,14.1614107896434,14.0788144174421,14.0100646825386,13.9102776788157,13.9214109170067,14.0808993777571,14.19286674394,13.9809354907147,14.1422262308764,13.927298629728,14.1577950371584
"5628","Q5VSL9;Q5VSL9-2",15.8026512760913,16.0550599194274,16.0233510149811,16.1271327059339,16.0285169932446,16.0455106414052,15.9169302652375,16.0784359167627,15.7075559033302,15.6251584548737,15.735656042101,15.5818739129787,15.7998040089488,15.8650782609472,15.8311095248844,15.9421365719333
"5629","Q5VSL9;Q5VSL9-2;Q5VSL9-4",15.5783691257376,15.6187842071553,15.7153018470851,15.665256274382,15.6752251956944,15.4518176271289,15.6032942411065,15.643648516875,15.2579669021753,15.4726966163766,15.2632397627847,15.6084770169929,15.2854631094987,15.5941203725333,15.5471860366045,15.8295051228953
"5630","Q5VSL9;Q5VSL9-2;Q9ULQ0-2;Q9ULQ0",15.9873730255513,16.3320446806673,16.2595996399446,16.3772752088891,16.3094177215477,16.3211116840725,16.3476007924516,16.3865760432633,15.944960755402,15.9570143878293,15.8568693303435,15.7782451355468,15.7776648811208,15.7337137265911,15.8911589494572,16.2184784628371
"5631","Q5VSL9;Q5VSL9-4",15.4354428610226,15.4983411304162,15.5203257605106,15.5658804136152,15.5353092713082,15.4941373994957,15.5555573051438,15.5791110432002,15.3113873494687,15.3100026810269,15.3755212007647,15.2210876703873,15.4229179202353,15.3823062550538,15.269628500469,15.4295791614027
"5632","Q5VST6",16.2349186210467,15.7132225487714,15.5179909794971,15.6926766293612,15.5517160816835,15.6342515839225,15.7658660131569,15.6669538919668,16.2545485601453,16.2591030273688,16.2525919728756,16.3095863125689,16.2915930234592,16.2226329331197,16.1813376382167,15.6241560265775
"5633","Q5VST6;Q5VST6-2",15.2969522903406,15.1646645644163,15.1743719152003,15.052660426666,14.9835981251284,14.9610697570536,14.9401063468471,14.6255962347091,15.2964345154383,15.3699441736674,15.0236474566893,15.4153276119008,15.0074860169515,15.3041408180972,15.2204670211845,15.3105752114678
"5634","Q5VSY0-2;Q5VSY0",15.1782327342825,14.7915398768183,15.009391152054,14.8889742130665,14.8469817701094,14.8604846979442,14.9077517312019,14.8922615641682,15.3200132460299,15.3458728668312,15.3298670922024,15.4150641711573,15.4232021623016,15.1325447109412,15.2456599126853,15.0468511414174
"5635","Q5VT06",13.6899936627252,14.0126365872094,13.7589727747693,13.8567138378998,13.6339893824273,13.695945040945,13.9352075507395,13.8945874651187,13.7159418168641,13.8837033965,13.4802652952315,13.7914652619731,13.7872112851239,13.7600287959397,13.3766639075361,13.9836275679739
"5636","Q5VT52-3;Q5VT52;Q5VT52-2",13.8855666788271,14.1625306210706,14.4066088638896,14.3128306101625,14.4687408853745,14.440053666247,14.2637585744475,14.2801446566763,13.6586426990184,13.8367615175545,13.9760791393276,13.9144203167471,13.9372081546383,14.0442071841348,13.7635014529836,14.3562276944108
"5637","Q5VT52-3;Q5VT52;Q5VT52-2;Q5VT52-5",14.4411001258676,15.3882422499345,15.4825675320414,15.3850329313791,15.2728274709839,15.5467023156196,15.4832743196957,15.3837346943231,14.3232807458872,14.303241479537,14.4726329939995,14.4527052753009,14.5474349475006,14.4675817368807,14.5287412659909,15.4606866170666
"5638","Q5VT52-3;Q5VT52;Q5VT52-2;Q5VT52-5;Q5VT52-4",12.5541462863277,13.5467435085152,13.9420618637347,13.7236139038586,14.0260409646654,14.0225153687359,13.9037349968896,13.8345779488386,12.8331736823442,12.7128270994689,12.5667599353024,12.4252071493648,12.6001500185741,12.6783637501358,13.103075481239,14.0028448662922
"5639","Q5VT52-3;Q5VT52;Q5VT52-5;Q5VT52-4",13.7954620336751,14.7658463057676,14.8626455414191,14.9173017438629,14.9418640638709,14.9807488547741,14.9343973494001,14.8566242272575,14.070762896627,13.96365779273,14.2154191539815,13.9141667998748,13.708411399227,14.1915277625175,14.0425266154598,14.8614789181027
"5640","Q5VT97-2;Q5VT97",15.7396923557696,15.3187229956025,15.084626606248,15.116054162783,15.1508971587164,15.1273599518107,15.1200551298999,15.1376143913735,15.6398701410046,15.7517282120125,15.6460687868172,15.6883634882131,15.6547781869164,15.6383979270619,15.6423659705619,15.3038607349995
"5641","Q5VTB9-3;Q5VTB9",14.5229641673836,14.8521039874441,14.8135777275658,14.8201548071434,14.7199935664585,14.7696327239399,14.7225337415886,14.9093256542152,14.7431462506269,14.5708717246702,14.6068257630295,14.4468595499036,14.5679240770826,14.4855967541784,14.6391797776584,14.7324619097562
"5642","Q5VTL8",15.9878026081615,15.3373398704599,15.411735467168,15.3125468786455,15.4622348710877,15.4578090985002,15.3282898725326,15.4325830937632,15.8974310964609,15.913735092244,15.8760494459503,15.8906963418963,15.9360366966579,15.767466223761,15.901639922586,15.5108619786255
"5643","Q5VTL8;Q5VTL8-2",15.9950266256062,15.3538033297916,15.3974500287371,15.507597440626,15.412267423652,15.4160316772468,15.3143750784524,15.562478268735,15.9998708010463,16.0708192140584,15.9060129176563,15.9909146424963,15.9287098414873,15.8588889506031,15.8597554245495,15.5090403321489
"5644","Q5VTR2",14.7704295217668,15.8863869583122,15.8849241829269,15.8788976004915,15.8825194443163,15.8796600341798,15.9054206101023,15.9515337793017,14.9845944381285,14.8593979640249,15.1010502625186,14.7722227968095,14.9455810181398,14.885847465338,15.186622978419,15.8827170278995
"5645","Q5VTR2;Q8WXI4-2;Q8WXI4",14.3009523004811,15.8170186134559,15.848148000435,16.0000161918243,15.8615241654557,15.8881605536799,15.9276323995257,15.8872812137568,14.5401182991047,14.5568465450553,14.9495392906132,14.387691662419,14.5717581088987,14.6367846463844,14.9242701247803,15.8491044705681
